time_ms,ch0
103,1418
615,1426
1126,1440
1611,1410
2123,1428
2634,1423
3145,1408
3656,1399
4141,1409
4653,1410
5164,1412
5675,1411
6160,1409
6671,1413
7183,1408
7694,1416
8179,1411
8690,1412
9202,1412
9713,1416
10198,1416
10709,1416
11220,1413
11732,1417
12217,1421
12728,1426
13239,1422
13750,1421
14236,1426
14747,1420
15258,1422
15769,1420
16255,1418
16766,1416
17277,1409
17788,1408
18274,1406
18785,1403
19296,1403
19807,1406
20293,1407
20804,1408
21315,1413
21826,1412
22312,1407
22823,1406
23334,1407
23845,1416
24331,1416
24842,1410
25353,1409
25864,1410
26350,1411
26862,1409
27373,1407
27884,1408
28370,1406
28881,1406
29392,1409
29903,1410
30389,1410
30900,1416
31411,1416
31922,1411
32408,1411
32919,1406
33430,1407
33941,1413
34427,1412
34938,1410
35449,1410
35960,1410
36446,1406
36957,1403
37468,1406
37979,1408
38465,1411
38976,1413
39487,1410
39998,1406
40483,1408
