time_ms,ch0
104,1027
615,1023
1126,1027
1612,1027
2123,1029
2634,1033
3145,1023
3631,1022
4142,1030
4653,1032
5164,1037
5650,1037
6161,1040
6672,1037
7183,1037
7694,1034
8180,1037
8691,1038
9202,1037
9713,1039
10199,1037
10710,1037
11221,1042
11732,1037
12217,1037
12729,1039
13240,1041
13751,1038
14236,1040
14747,1047
15258,1047
15770,1044
16255,1047
16766,1047
17277,1041
17789,1041
18274,1037
18785,1034
19296,1037
19807,1039
20293,1038
20804,1034
21315,1037
21826,1040
22312,1033
22823,1037
23334,1034
23845,1031
24331,1034
24842,1017
25353,1027
25864,1024
26350,1021
26862,1024
27374,1022
27859,1018
28370,1018
28881,1017
29392,1019
29878,1017
30389,1018
30900,1018
31411,1011
31897,1010
32408,1017
32919,1019
33430,1014
33916,1017
34427,1017
34938,1011
35449,1011
35935,1008
36446,1010
36957,1007
37468,1007
37954,1001
38465,1001
38976,1000
39487,999
39973,991
40484,997
40995,997
41506,997
41992,1007
42503,1007
43014,1004
43525,1009
44010,997
44522,1001
45033,1008
45544,1006
46029,1004
46540,1003
47051,1000
47563,991
48048,989
48559,993
49070,1007
49581,1007
50067,1013
50578,1017
51089,1017
51600,1017
52086,1027
52597,1024
53108,1027
53619,1002
