time_ms,ch0
103,967
614,971
1125,793
1610,743
2121,730
2632,906
3142,899
3628,922
4139,931
4649,930
5160,929
5646,929
6156,923
6667,957
7153,952
7663,951
8174,952
8685,952
9171,952
9681,854
10192,947
10703,933
11188,937
11699,935
12210,939
12695,940
13206,937
13717,954
14228,960
14713,962
15224,963
15735,962
16246,963
16731,964
17242,964
17753,967
18238,878
18749,952
19260,952
19771,776
20256,775
20767,633
21278,938
21763,749
22274,970
22785,972
23296,967
23781,944
24292,947
24803,947
25313,947
25799,947
26310,947
26820,947
27306,937
27817,937
28327,937
28838,939
29324,962
29834,888
30345,957
30856,960
31341,780
31852,755
32363,959
32848,952
33359,951
33870,958
34381,958
34866,955
35377,950
35888,937
36373,939
36884,946
37395,838
37906,967
38391,967
38902,971
39413,969
