time_ms,ch0
103,1141
614,1141
1126,1141
1611,1139
2122,1142
2633,1146
3144,1147
3630,1146
4141,1147
4652,1150
5163,1151
5649,1145
6160,1143
6671,1136
7182,1137
7693,1149
8179,1149
8690,1146
9201,1148
9712,1149
10198,1138
10709,1141
11220,1147
11706,1147
12217,1146
12728,1147
13239,1143
13725,1141
14236,1140
14747,1136
15258,1136
15744,1142
16255,1137
16766,1137
17277,1140
17763,1139
18274,1133
18785,1126
19296,1126
19782,1129
20293,1130
20804,1129
21315,1133
21800,1131
22312,1131
22823,1137
23334,1140
23819,1141
24331,1140
24842,1138
25353,1138
25838,1132
26349,1128
26862,1127
27373,1136
27859,1133
28370,1127
28881,1127
29392,1129
29878,1133
30389,1137
30900,1131
31411,1133
31897,1130
32408,1127
32919,1123
33405,1127
33916,1128
34427,1133
34938,1124
35423,1117
35934,1123
36446,1127
36957,1127
37442,1127
37953,1122
38464,1117
38976,1113
39461,1117
39972,1117
40483,1111
40994,1110
41480,1118
41991,1117
42502,1117
43013,1114
43499,1118
44010,1126
44521,1123
45032,1124
45518,1127
46029,1122
46540,1124
47051,1129
47537,1112
48048,1107
48559,1090
49070,1088
49556,1071
