time_s,temp_C,pwm_pct,error
33,22.320,43.6,5.320
34,22.035,42.3,5.035
35,20.886,33.9,3.886
36,21.062,36.2,4.062
37,21.154,37.7,4.154
38,21.245,39.3,4.245
39,21.518,42.4,4.518
40,21.245,41.1,4.245
41,21.608,44.9,4.608
42,21.964,48.7,4.964
43,21.964,49.7,4.964
44,21.427,46.3,4.427
45,21.518,47.9,4.518
46,21.427,48.1,4.427
47,21.727,51.4,4.727
48,21.727,52.4,4.727
49,21.846,54.3,4.846
50,21.518,52.6,4.518
51,21.427,52.7,4.427
52,21.518,54.4,4.518
53,21.608,56.0,4.608
54,21.518,56.2,4.518
55,21.608,57.8,4.608
56,21.427,57.3,4.427
57,21.336,57.4,4.336
58,21.336,58.3,4.336
59,21.518,60.6,4.518
60,21.336,60.1,4.336
61,21.518,62.4,4.518
62,21.427,62.6,4.427
63,21.427,63.5,4.427
64,21.518,65.1,4.518
65,21.427,65.2,4.427
66,21.608,67.6,4.608
67,21.336,66.3,4.336
68,21.427,67.9,4.427
69,21.427,68.8,4.427
70,21.336,68.9,4.336
71,21.427,70.6,4.427
72,21.427,71.4,4.427
73,21.245,70.8,4.245
74,21.427,73.2,4.427
75,21.336,73.3,4.336
76,21.427,74.9,4.427
77,21.518,76.6,4.518
78,21.427,76.7,4.427
79,21.336,76.9,4.336
80,21.427,78.5,4.427
81,21.336,78.6,4.336
82,21.427,80.2,4.427
83,21.427,81.1,4.427
84,21.336,81.3,4.336
85,21.427,82.9,4.427
86,21.245,82.3,4.245
87,21.336,83.9,4.336
88,21.964,89.9,4.964
89,21.336,85.7,4.336
90,21.608,88.8,4.608
91,21.518,89.0,4.518
92,21.608,90.6,4.608
93,21.245,88.6,4.245
94,21.154,88.7,4.154
95,21.427,91.8,4.427
96,21.608,94.1,4.608
97,21.608,95.0,4.608
98,21.727,96.9,4.727
99,22.106,100.0,5.106
100,22.249,100.0,5.249
101,21.608,96.9,4.608
102,21.427,96.3,4.427
103,21.245,95.7,4.245
104,21.245,96.6,4.245
105,21.427,98.9,4.427
106,21.427,99.8,4.427
107,21.518,100.0,4.518
108,21.608,100.0,4.608
109,21.727,100.0,4.727
110,21.727,100.0,4.727
111,21.964,100.0,4.964
112,21.336,100.0,4.336
113,21.727,100.0,4.727
114,21.608,100.0,4.608
115,21.245,100.0,4.245
116,21.245,100.0,4.245
117,21.336,100.0,4.336
118,21.336,100.0,4.336
119,21.336,100.0,4.336
120,21.336,100.0,4.336
121,20.972,97.8,3.972
122,22.106,100.0,5.106
123,22.320,100.0,5.320
124,21.518,100.0,4.518
125,21.608,100.0,4.608
126,21.608,100.0,4.608
127,21.518,100.0,4.518
128,21.608,100.0,4.608
129,21.846,100.0,4.846
130,22.106,100.0,5.106
131,21.608,100.0,4.608
132,21.608,100.0,4.608
133,21.846,100.0,4.846
134,22.249,100.0,5.249
135,22.320,100.0,5.320
136,21.727,100.0,4.727
137,21.846,100.0,4.846
138,22.106,100.0,5.106
139,21.964,100.0,4.964
140,22.035,100.0,5.035
141,22.249,100.0,5.249
142,22.249,100.0,5.249
143,22.035,100.0,5.035
144,22.320,100.0,5.320
145,21.608,100.0,4.608
146,21.518,100.0,4.518
147,21.427,100.0,4.427
148,21.518,100.0,4.518
149,21.727,100.0,4.727
150,21.608,100.0,4.608
151,21.518,100.0,4.518
152,21.427,100.0,4.427
153,21.336,100.0,4.336
154,21.336,100.0,4.336
155,21.336,100.0,4.336
156,21.427,100.0,4.427
157,21.245,100.0,4.245
158,21.245,100.0,4.245
159,21.245,100.0,4.245
160,21.336,100.0,4.336
161,21.336,100.0,4.336
162,21.336,100.0,4.336
163,21.427,100.0,4.427
164,21.336,100.0,4.336
165,21.336,100.0,4.336
166,21.727,100.0,4.727
167,21.154,100.0,4.154
168,21.336,100.0,4.336
169,21.336,100.0,4.336
170,21.336,100.0,4.336
171,21.245,100.0,4.245
172,21.062,99.4,4.062
173,20.886,98.7,3.886
174,22.249,100.0,5.249
175,21.427,100.0,4.427
176,21.427,100.0,4.427
177,21.518,100.0,4.518
178,21.427,100.0,4.427
179,21.427,100.0,4.427
180,21.336,100.0,4.336
181,21.336,100.0,4.336
182,21.245,100.0,4.245
183,21.154,100.0,4.154
184,21.336,100.0,4.336
185,21.245,100.0,4.245
186,21.336,100.0,4.336
187,21.427,100.0,4.427
188,21.727,100.0,4.727
189,21.518,100.0,4.518
190,21.154,100.0,4.154
191,20.972,100.0,3.972
192,21.964,100.0,4.964
193,21.964,100.0,4.964
194,21.427,100.0,4.427
195,21.336,100.0,4.336
196,21.245,100.0,4.245
197,21.062,100.0,4.062
198,21.062,100.0,4.062
199,21.062,100.0,4.062
200,21.154,100.0,4.154
201,22.496,100.0,5.496
202,23.296,100.0,6.296
203,21.727,100.0,4.727
204,23.388,100.0,6.388
205,22.320,100.0,5.320
206,22.408,100.0,5.408
207,23.990,100.0,6.990
208,22.320,100.0,5.320
209,22.496,100.0,5.496
210,22.496,100.0,5.496
211,22.787,100.0,5.787
212,22.671,100.0,5.671
213,22.496,100.0,5.496
214,22.408,100.0,5.408
215,23.111,100.0,6.111
216,22.584,100.0,5.584
217,22.408,100.0,5.408
218,22.496,100.0,5.496
219,22.249,100.0,5.249
220,23.111,100.0,6.111
221,22.249,100.0,5.249
222,22.584,100.0,5.584
223,22.496,100.0,5.496
224,23.204,100.0,6.204
225,22.249,100.0,5.249
226,22.787,100.0,5.787
227,21.727,100.0,4.727
228,23.296,100.0,6.296
229,22.320,100.0,5.320
230,22.902,100.0,5.902
231,21.846,100.0,4.846
232,23.111,100.0,6.111
233,22.320,100.0,5.320
234,22.787,100.0,5.787
235,21.727,100.0,4.727
236,23.388,100.0,6.388
237,22.408,100.0,5.408
238,22.584,100.0,5.584
239,24.328,100.0,7.328
240,21.846,100.0,4.846
241,23.018,100.0,6.018
242,22.320,100.0,5.320
243,22.787,100.0,5.787
244,21.608,100.0,4.608
245,23.296,100.0,6.296
246,22.249,100.0,5.249
247,22.787,100.0,5.787
248,21.608,100.0,4.608
249,23.296,100.0,6.296
250,22.249,100.0,5.249
251,22.787,100.0,5.787
252,24.399,100.0,7.399
253,22.320,100.0,5.320
254,22.902,100.0,5.902
255,22.408,100.0,5.408
256,22.902,100.0,5.902
257,21.727,100.0,4.727
258,23.388,100.0,6.388
259,22.249,100.0,5.249
260,22.787,100.0,5.787
261,22.035,100.0,5.035
262,22.787,100.0,5.787
263,22.496,100.0,5.496
264,29.013,100.0,12.013
265,20.185,93.8,3.185
266,20.274,95.1,3.274
267,20.274,95.8,3.274
268,20.274,96.4,3.274
269,20.274,97.1,3.274
270,20.274,97.7,3.274
271,20.274,98.4,3.274
272,20.185,98.3,3.185
273,22.902,100.0,5.902
274,22.035,100.0,5.035
275,22.249,100.0,5.249
276,21.427,100.0,4.427
277,22.249,100.0,5.249
278,22.320,100.0,5.320
279,24.184,100.0,7.184
280,21.245,100.0,4.245
281,21.154,100.0,4.154
282,20.748,100.0,3.748
283,21.336,100.0,4.336
284,20.972,100.0,3.972
285,20.972,100.0,3.972
286,21.154,100.0,4.154
287,21.062,100.0,4.062
288,20.095,98.2,3.095
289,20.817,100.0,3.817
290,20.362,100.0,3.362
